No;X;Y;Size [µm];Locating ch. value;Ch. 1 value;
481;1248;433;104,6;16,643;14,000;
482;279;435;105,9;16,168;18,454;
483;1212;434;105,7;16,935;14,865;
484;1176;436;104,2;16,643;13,897;
485;701;437;105,4;16,011;13,459;
486;243;438;103,9;16,308;13,665;
487;1024;439;102,4;16,151;13,503;
488;1104;440;106,6;16,200;13,676;
489;1140;438;104,6;16,205;13,541;
490;1066;440;107,8;16,303;13,568;
491;207;440;99,6;16,108;18,741;
492;171;443;104,8;16,108;13,762;
493;985;443;107,7;16,157;13,459;
494;93;445;105,4;16,751;14,384;
495;661;444;105,5;16,243;13,616;
496;135;446;107,4;16,232;13,751;
497;57;447;100,1;16,054;18,611;
498;20;450;108,2;16,584;13,919;
499;945;449;104,5;16,108;13,443;
500;626;450;104,1;16,108;13,578;
501;590;453;106,7;16,114;13,557;
502;907;452;108,4;16,254;18,341;
503;410;453;104,2;15,935;13,600;
504;553;456;108,7;16,243;13,697;
505;870;455;107,5;16,124;17,930;
506;833;457;106,9;16,130;13,427;
507;795;457;105,8;16,211;13,454;
508;516;458;106,7;16,151;13,562;
509;372;459;105,0;16,032;13,595;
510;1340;459;106,0;16,622;13,962;
511;480;460;105,4;16,443;13,778;
512;1304;461;103,4;16,703;19,032;
513;335;462;105,2;16,151;13,578;
514;759;462;104,3;16,130;13,486;
515;444;463;102,2;16,065;18,222;
516;1268;463;105,5;16,524;14,038;
517;299;465;106,0;16,514;13,773;
518;1232;465;105,8;16,286;13,811;
519;1196;467;107,1;16,427;13,768;
520;722;467;107,8;16,254;13,459;
521;263;468;104,4;16,314;13,719;
522;1160;469;105,4;16,600;13,914;
523;227;470;103,6;16,389;13,892;
524;685;471;106,8;16,254;13,503;
525;1009;471;106,1;16,114;13,589;
526;1048;471;107,3;16,254;13,795;
527;1123;470;105,3;16,232;18,865;
528;1087;472;108,0;16,303;18,568;
529;192;473;102,5;16,200;13,897;
530;113;474;96,7;16,876;14,403;
531;77;477;105,4;16,395;14,005;
532;155;476;105,1;16,108;13,697;
533;971;476;106,5;16,119;18,141;
534;648;478;108,2;16,427;13,600;
535;41;480;107,7;16,319;14,000;
536;929;481;105,8;16,351;18,508;
537;610;482;107,2;16,297;13,584;
538;574;485;107,6;16,324;13,557;
539;892;485;105,5;16,081;17,984;
540;395;486;103,4;16,222;13,670;
541;853;487;107,0;16,216;13,546;
542;538;488;105,6;16,141;13,708;
543;815;487;103,4;16,389;13,519;
544;1360;489;107,0;16,470;13,805;
545;502;491;105,5;16,173;13,654;
546;356;492;107,1;16,270;13,686;
547;779;492;105,7;16,605;13,714;
548;1323;491;104,1;16,654;14,092;
549;466;493;104,5;16,357;13,914;
550;1287;493;105,7;16,530;13,989;
551;320;494;104,5;16,119;13,778;
552;743;495;105,6;16,281;13,676;
553;1251;495;103,3;16,422;18,978;
554;429;496;104,9;16,265;13,535;
555;1215;497;105,3;16,589;13,995;
556;284;497;103,1;16,151;13,870;
557;1179;499;104,1;16,454;18,816;
558;248;500;104,5;16,205;13,951;
559;1143;501;104,2;16,384;13,886;
